o:id,ma:isFragmentOf ^^resource
2059,1871
2232,1871
2393,1871
2532,1871
2736,1871
2924,1871
3071,1871
3225,1871
3375,1871
3539,1871
3689,1871
3881,1871
4036,1871
4227,1871
4349,1871
4464,1871
4592,1871
4722,1871
4831,1871
4958,1871
5125,1871
5306,1871
5441,1871
5557,1871
5704,1871
5820,1871
5948,1871
6085,1871
6217,1871
6358,1871
6518,1871
6629,1871
6745,1871
6865,1871
6961,1871
7051,1871
7156,1871
7246,1871
7314,1871
7432,1871
7516,1871
7620,1871
7719,1871
7797,1871
7878,1871
8006,1871
8118,1871
8226,1871
8342,1871
8448,1871
8583,1871
8697,1871
8778,1871
8894,1871
9030,1871
9067,1871
9228,9068
9357,9068
9488,9068
9583,9068
9682,9068
9800,9068
9917,9068
10068,9068
10222,9068
10381,9068
10553,9068
10690,9068
10860,9068
10996,9068
11071,9068
11169,9068
11277,9068
11372,9068
11472,9068
11592,9068
11706,9068
11833,9068
11983,9068
12126,9068
12218,9068
12369,9068
12487,9068
12599,9068
12691,9068
12794,9068
12910,9068
13033,9068
13140,9068
13251,9068
13371,9068
13496,9068
13644,9068
13739,9068
13866,9068
13969,9068
14110,9068
14273,9068
14451,9068
14586,9068
14668,9068
14789,9068
14920,9068
15046,9068
15167,9068
15280,9068
15403,9068
15492,9068
15619,9068
15740,9068
15888,9068
15973,9068
16145,15974
16312,15974
16440,15974
16614,15974
16783,15974
16904,15974
17045,15974
17156,15974
17266,15974
17418,15974
17617,15974
17764,15974
17896,15974
18065,15974
18222,15974
18377,15974
18522,15974
18646,15974
18783,15974
18919,15974
19046,15974
19189,15974
19336,15974
19495,15974
19607,15974
19684,15974
19790,15974
19898,15974
20015,15974
20100,15974
20204,15974
20317,15974
20450,15974
20595,15974
20722,15974
20850,15974
20966,15974
21089,15974
21207,15974
21318,15974
21400,15974
21520,15974
21565,15974
21691,15974
21804,15974
21947,15974
22061,15974
22197,15974
22362,15974
22520,15974
22612,15974
22718,15974
22880,15974
23036,15974
23150,15974
23279,15974
23369,23280
23376,23280
23392,23280
23456,23280
23528,23280
23639,23280
23759,23280
23872,23280
24008,23280
24108,23280
24227,23280
24331,23280
24452,23280
24553,23280
24681,23280
24810,23280
24967,23280
25118,23280
25255,23280
25381,23280
25503,23280
25614,23280
25752,23280
25844,23280
25943,23280
26079,23280
26247,23280
26377,23280
26494,23280
26605,23280
26691,23280
26758,23280
26853,23280
26920,23280
27022,23280
27109,23280
27239,23280
27348,23280
27455,23280
27571,23280
27687,23280
27802,23280
27901,23280
27993,23280
28111,23280
28228,23280
28335,23280
28472,23280
28612,23280
28728,23280
28871,23280
29013,23280
29168,23280
29302,23280
29439,23280
29583,23280
29758,23280
29890,23280
30026,29891
30157,29891
30302,29891
30440,29891
30572,29891
30703,29891
30826,29891
30973,29891
31099,29891
31205,29891
31330,29891
31420,29891
31503,29891
31639,29891
31753,29891
31867,29891
31983,29891
32103,29891
32244,29891
32395,29891
32499,29891
32590,29891
32688,29891
32801,29891
32944,29891
33049,29891
33158,29891
33260,29891
33354,29891
33467,29891
33557,29891
33656,29891
33756,29891
33858,29891
33957,29891
34056,29891
34134,29891
34246,29891
34383,29891
34523,29891
34692,29891
34840,29891
34984,29891
35115,29891
35213,29891
35364,29891
35455,29891
35492,29891
